,0
0,
1,"Alper Tekin
@suatalpertekin
·
19 Kas 2023
@SuperYardim
 1 saattir fiber internetimiz yok. Hızı arttırmak için ısrarla arıyorsunuz ancak vaad ettiğiniz hızı zaten istikrarlı şekilde alamıyoruz bir de kesinti yaşıyoruz. Alınan ekstra ücretleri is sürekliliği ya da stabil fiber alt yapısına ayırmayı düşünüyor musunuz?
1
28"
2,"Dr_asenahanımcım
@dr_balikciasena
·
2 Ara 2023
@SuperYardim
 aylardır deprem bölgesinde genelarıza verdiğiniz kullanamadığımı söylediğim internetimin ücretini istediniz . Şimdi internetimi taşımak istiyorum lanet her numaranızı aradığımda genel arıza bölgesinde diyor kapatıyor.Allah belanızı versin  tüm içtenliğimle istiyorum
1
17"
3,"akı nabiniz
@akinabinizz
·
4 Eki 2023
@SuperYardim
 internet arıza bildirimi yapalı 12 saat oldu. Zahmet edip ne arayan ne soran. Yeni paket satacak olsanız 22:00 da bile kapı çalarsınız.
1
37"
4,"ZAFER L. YAZICI
@ZAFERLYAZICI1
·
15 Kas 2023
@SuperYardim
 günlerdir arıza kaydı birakmamiza rağmen hiç bir çözüm olmadı.eczane işletiyoruz  hastalara ilaç veremiyoruz .. sizi heryere şikayet edicez bu kadar vurdum duymazlik olmaz ..yazıklar olsun ..aboneliğimizi derhal sonlandiriyoruz.
1
12"
5,"GüneşinOğlu
@Acetahin03
·
7 Ara 2023
@SuperYardim
 hergün mesaj geliyordu bugün aksilik oldu mesaj gelmiyor. Yapı kredi bankası mobil hesabım açmak için yarım saat uğraşıp yaptım, ama malesef mesaj şifresini alamadım. Bugün fatura ödemesi vardı ödeyemedim. İyi geceler
29"
6,"George Mcfly
@GeorgeMcfly1855
·
26 Kas 2023
@SuperYardim
 Merhaba 24 saattir internetim yok.  Talebimi açalı 24 saat geçti hala dönüş olmadı yardımcı olabilir misiniz? 
@TurkcellHizmet
1
1
19"
7,"utku yakar
@utkuyakar
·
7 Oca
@SuperYardim
 adlı kişiye yanıt olarak
Bilgimdışı gameplus aboneliği başlatılmış.Aralıkta ve ocakta şikayet oluşturdum,sonuç alamıyorum.Biri benim adıma abonelik oluşturuyor,siz de benden parasını alıyorsunuz.Üstüne cayma bedeli de alıyorsunuz. İnsanları tezgaha mı getiriyorsunuz?Bunu kaç kişiyeyaptınız.Parayı iadeEdn
2
39"
8,"Buse
@nolurisimver
·
30 Oca
@SuperYardim
 tam bir rezaletsiniz,evde çekmeyen internet yüzünden 4 defa müşteri temsilcini arayıp eve teknik servis gelmesi için randevu oluşturdum ve hala daha evime gelmediler. 2 aydır kullanamadığım internetin faturasını ödüyorum. Nasıl bir dolandırıcısınız?
2
313"
9,"Gülsün tecer BEKAR
@0506Glsn
·
4 Oca
@SuperYardim
 tüm dünyada en büyük iletişim kaynağı internetken rakipsiz olduğunuzu iddia edip fazla para talep ederken kurulumlarinizi aynı gün yapip iş  sorun  cözmeye gelince günlerce magdur edensiniz . Yazıklar olsun Türkiye'nin en büğüne.  
@Turkcell
  @Trkcellfiberint
1
19"
10,"Solmaz Doguturk
@SolmazDoguturk
·
22 Eki 2023
@SuperYardim
 Bir aydan fazladır internetimiz yok. Sürekli kopmalar var. Her gidişi en az iki saat. Size defalarca yazdık aradık. Sonuç yok. Ne yapmamız gerek bilmiyorum. 7 aydır kablolar yolun ortasında.
2
64"
11,"Ertuğrul Boz
@erbjk34
·
24 Eyl 2023
@SuperYardim
 
@TVPlusHerYerde
 
@ticaret
 
@TuketiciBasvuru
 
@tuketicienstitu
@turkcell
Ertuğrul Boz
@erbjk34
·
24 Eyl 2023
@TVPlusHerYerde tv plus heryerde yaziyorsunuz oradamisiniz acaba dunden beri bi arizayi gideremediniz de baglanti yapilali 1 hafta oldu iptal edebiliyormuyuz.?
33"
12,"Merhaba Çocukluğum!
@twitergin
·
16 Oca
@SuperYardim
 süperonline internet kullanıcısıyım ancak türkcel uygulmasına giriş yaparken şifremi unuttuğım için sms ile şifre talep ediyorum gelmiyor hızlı giriş seçeneğinde ise gsm noya birden fazla müşteri kayıtlı hatası alıyorum.Yardımcı olabilir misiniz?
1
53"
13,"durulvarol
@durulvarol
·
3 Kas 2023
@SuperYardim
 Lokal bayileriniz tarafından telefon ile aranıp düpedüz yalanlarla taahhüt yenilemesi yapılmaya çalışılıyor. Başıma ilk defa da gelmiyor, tutanın tuttuğunu öptüğü bir sistem ne kadar doğru?
4"
