,text
0,"@SuperYardim
  19 aralik 2022 gece saat 01.00 da internetim kesildi ve bakim calismasi oldugu benim portumun takılmadiği soylendi en az 15 kere musteri hizmetleri ile görüştüm surekli arıza kaydi acıldı ama kimse gelmedi genel müdürlük ilgilencek denildi gene bir çözüm yok"
1,"@SuperYardim
 Merhaba. Kampanya araması için aranma talebim mevcuttu. Saygilar."
2,"@SuperYardim
 2000 tl borçlar silinmişken, Cumhurbaşkanı kararı açıklamışken 443 tl için neden hala işlem yapmıyorsunuz?"
3,"@SuperYardim
 dostum 4 saattir paket kaybı yaşıyorum ve müşteri hizmetleri asla telefonu açmıyor. Eyt de yaş sınırı kalkınca bütün çalışanlar kulaklığı fırlatıp işten mi çıktı"
4,"@SuperYardim
 Çekmeköy Mehmet Akif mahallesinde fiber internet geldiğinden beri İnternetlerimiz doğru düzgün çalışmıyor. Ne zaman arıza kaydı açsak sorun apartman içinde deniyor. Apt.dan hiç kimse fiberden memnun değil. Apt içine kim kabloları dizdiyse her şeyi bozup gitmişler.."
5,"@SuperYardim
 4 gündür Kadıköy Mehpare sokaktaki fiber internet sorununu çözemeyen bir internet operatörü acaba ABD ya da Avrupadaki bir ülkede faaliyetine hiçbirşey olmamış gibi devam edebilir miydi?"
6,"@SuperYardim
 Evimde senelerdir 4 mbps internetten fazla alamıyorum insanlar 8 10 saatte aya varıyor ben 8 10 saatte bir uzay belgeseli indiremiyorum. Lütfen altyapıyla ilgilenir misiniz"
7,"@SuperYardim
 Ankara’da sitede oturuyoruz. Port eksikliğinden dolayı her gün birinin kablosu çekilip başkasının portu takılıyor. Herkes her gün arıza kaydı açıyor. Eğer port koyacak altyapınız yoksa bize beden bu interneti sattınız 
@Turkcell
 @SuperYardim"
8,"@SuperYardim
 Superonline call center arar ve
- Efendim bölgenizde vdsl hattı çalışması var siz adsl kullanıyorsunuz VDSl hattına geçirelim (Yalancı)
+ bu bölgede böyle bir çalışma yok
-....
+....
Sizin binanız da vdsl hattı yokmuş.
bi sik. gidin amk.
Siz neyin kafasındasınız"
9,"@SuperYardim
 bağlattığımdan beri çok düzenli arıza çıkartıyor pişman ediyorsunuz arıza yetmediği gibi telefonu açmaya da curet etmiyorsunuz kaç arıza sonra iptal hakkımoz doğacak tamamladık mı?"
10,"@SuperYardim
  12019939 nolu aboneyim. Salı gününden itibaren arıza kaydı bıraktım dönüş Yok, merak ediyorum bu yıl bitermi çalışmanız. Hizmet alamadığım abonelik iptali için 1820 TL Cayma bedeli istemek ahlaki mi. Amacınız nedir ? 
@Turkcell
 @BorsaKahini_
 @bulentuslu1903
 #BIST30"
11,"@SuperYardim
 2 hafta önce süperonline başvurusu yaptık geldiler modemi kurdular sözde.
İnternet yok dedik gelecek gün içinde dediler o günden beri internetimiz yok.

Ne teknik servis ilgileniyor, ne süperonline. 
Burası işyeri ofis birde. İnternet demek her şey demek."
